name,year,country,genre,director,rating
Властелин колец: Возвращение короля,2003,"Новая Зеландия, США","фэнтези, приключения, драма",Питер Джексон,8.6
Агенты А.Н.К.Л.,2015,"США, Великобритания","боевик, комедия, приключения",Гай Ричи,7.5
Куда приводят мечты,1998,"США, Новая Зеландия","фэнтези, драма, мелодрама",Винсент Уорд,7.9
Геошторм,2017,США,"фантастика, боевик, триллер",Дин Девлин,5.8
Опасная игра Слоун,2016,"США, Франция","драма, криминал",Джон Мэдден,7.7
Обитель зла: Раккун-Сити,2021,"Канада, Германия","ужасы, боевик, фантастика",Йоханнес Робертс,5.4
Наркокурьер,2018,"США, Канада","триллер, драма, криминал",Клинт Иствуд,7.2
Армагеддон,1998,США,"фантастика, приключения, боевик, триллер",Майкл Бэй,7.8
Гонка,2013,"Великобритания, Германия, США","спорт, драма, биография",Рон Ховард,8.1
Бэтмен против Супермена: На заре справедливости,2016,США,"фантастика, боевик, фэнтези, приключения",Зак Снайдер,6.8
Новый Человек-паук,2012,США,"фантастика, боевик, приключения",Марк Уэбб,6.9
Форсаж 9,2021,США,"боевик, криминал, приключения",Джастин Лин,5.6
"Карты, деньги, два ствола",1998,Великобритания,"боевик, комедия, криминал",Гай Ричи,8.6
Меч короля Артура,2017,"Великобритания, США, Австралия","фэнтези, боевик, драма, приключения",Гай Ричи,7.2
Отступники,2006,"США, Гонконг","триллер, драма, криминал",Мартин Скорсезе,8.5
Злое,2021,США,"ужасы, детектив",Джеймс Ван,6.3
Песнь моря,2014,"Ирландия, Дания, Бельгия, Франция","мультфильм, фэнтези, драма, приключения, семейный",Томм Мур,8.1
Отель «Гранд Будапешт»,2014,"США, Германия","комедия, приключения, детектив, криминал",Уэс Андерсон,7.9
Другие,2001,"Испания, США, Франция, Италия","ужасы, триллер, детектив",Алехандро Аменабар,7.9
Хинтерленд: город грехов,2021,"Австрия, Люксембург","детектив, триллер, драма",Штефан Рузовицки,6.3
Казино,1995,"США, Франция","драма, криминал",Мартин Скорсезе,8.1
Сайлент Хилл,2006,"Канада, Франция, Япония, США","ужасы, детектив",Кристоф Ганс,7.2
Эквилибриум,2002,США,"фантастика, боевик, триллер, драма",Курт Уиммер,7.9
Орел и решка. Кино,2022,Россия,"комедия, приключения",Вазген Каграманян,4.7
Битва за Севастополь,2015,"Россия, Украина","военный, биография, драма, история, боевик",Сергей Мокрицкий,7.6
Время,2011,США,"фантастика, мелодрама, боевик",Эндрю Никкол,7.3
Фантастические твари: Преступления Грин-де-Вальда,2018,"Великобритания, США","фэнтези, приключения, семейный",Дэвид Йейтс,6.7
Жизнь других,2006,"Германия, Франция","триллер, драма, детектив",Флориан Хенкель фон Доннерсмарк,8.1
Код 8,2019,Канада,"фантастика, боевик, криминал",Джефф Чан,6.2
Поменяться местами,1983,США,комедия,Джон Лэндис,7.7
Виноваты звезды,2014,США,"драма, мелодрама",Джош Бун,7.8
Малхолланд Драйв,2001,"США, Франция","триллер, драма, детектив",Дэвид Линч,7.7
Ветер крепчает,2013,Япония,"аниме, мультфильм, драма, биография, история",Хаяо Миядзаки,7.9
В погоне за счастьем,2006,США,"драма, биография",Габриэле Муччино,8.3
Ледяной драйв,2021,"США, Канада","боевик, триллер",Джонатан Хенсли,6.9
Я краснею,2022,США,"мультфильм, фэнтези, комедия, приключения, семейный",Доми Ши,7.1
Изобретение лжи,2009,США,"фэнтези, драма, мелодрама, комедия","Рики Джервэйс, Мэттью Робинсон",6.7
Враг,2013,"Канада, Испания","триллер, драма, детектив",Дени Вильнёв,6.6
"Кто твоя бабушка, чувак?",2019,"Франция, Бельгия",комедия,Габриэль Жюльен-Лаферье,5.7
Игра,1997,США,"триллер, драма, детектив, приключения",Дэвид Финчер,8.3
Игра на понижение,2015,США,"драма, комедия, биография, история",Адам МакКей,7.3
Семь жизней,2008,США,"драма, мелодрама",Габриэле Муччино,8.2
Жмурки,2005,Россия,"триллер, комедия, криминал",Алексей Балабанов,7.2
Кролецып и Хомяк Тьмы,2022,"Бельгия, Франция","мультфильм, мелодрама, комедия, приключения, семейный","Бен Стассен, Бенжамен Муске",6.8
Зверопой,2016,"Франция, Япония, США","мультфильм, мюзикл, комедия, семейный","Гарт Дженнингс, Кристоф Лурделе",7.3
Кроваво-красное небо,2021,"Германия, США","ужасы, триллер, боевик",Петер Торварт,6.2
Свежатинка,2022,США,"триллер, комедия, ужасы",Мими Кейв,6.5
